currency,per,data,time,close,vol
USD,D,2017-12-29,00:00,57.6291,0
USD,D,2017-12-30,00:00,57.6002,0
USD,D,2017-12-31,00:00,57.6002,0
USD,D,2018-01-01,00:00,57.6002,0
USD,D,2018-01-02,00:00,57.6002,0
USD,D,2018-01-03,00:00,57.6002,0
USD,D,2018-01-04,00:00,57.6002,0
USD,D,2018-01-05,00:00,57.6002,0
USD,D,2018-01-06,00:00,57.6002,0
USD,D,2018-01-07,00:00,57.6002,0
USD,D,2018-01-08,00:00,57.6002,0
USD,D,2018-01-09,00:00,57.6002,0
USD,D,2018-01-10,00:00,57.0463,0
USD,D,2018-01-11,00:00,56.8734,0
USD,D,2018-01-12,00:00,56.9957,0
USD,D,2018-01-13,00:00,56.6019,0
USD,D,2018-01-14,00:00,56.6019,0
USD,D,2018-01-15,00:00,56.6019,0
USD,D,2018-01-16,00:00,56.3569,0
USD,D,2018-01-17,00:00,56.3878,0
USD,D,2018-01-18,00:00,56.5925,0
USD,D,2018-01-19,00:00,56.7597,0
USD,D,2018-01-20,00:00,56.5892,0
USD,D,2018-01-21,00:00,56.5892,0
USD,D,2018-01-22,00:00,56.5892,0
USD,D,2018-01-23,00:00,56.6261,0
USD,D,2018-01-24,00:00,56.4115,0
USD,D,2018-01-25,00:00,56.3888,0
USD,D,2018-01-26,00:00,55.9288,0
USD,D,2018-01-27,00:00,55.8288,0
USD,D,2018-01-28,00:00,55.8288,0
USD,D,2018-01-29,00:00,55.8288,0
USD,D,2018-01-30,00:00,56.2908,0
USD,D,2018-01-31,00:00,56.2914,0
USD,D,2018-02-01,00:00,56.184,0
USD,D,2018-02-02,00:00,56.2613,0
USD,D,2018-02-03,00:00,56.0408,0
USD,D,2018-02-04,00:00,56.0408,0
USD,D,2018-02-05,00:00,56.0408,0
USD,D,2018-02-06,00:00,56.6278,0
USD,D,2018-02-07,00:00,57.2196,0
USD,D,2018-02-08,00:00,56.9533,0
USD,D,2018-02-09,00:00,57.6736,0
USD,D,2018-02-10,00:00,58.1718,0
USD,D,2018-02-11,00:00,58.1718,0
USD,D,2018-02-12,00:00,58.1718,0
USD,D,2018-02-13,00:00,58.0171,0
USD,D,2018-02-14,00:00,57.7701,0
USD,D,2018-02-15,00:00,57.5899,0
USD,D,2018-02-16,00:00,56.5918,0
USD,D,2018-02-17,00:00,56.3554,0
USD,D,2018-02-18,00:00,56.3554,0
USD,D,2018-02-19,00:00,56.3554,0
USD,D,2018-02-20,00:00,56.3438,0
USD,D,2018-02-21,00:00,56.5201,0
USD,D,2018-02-22,00:00,56.6537,0
USD,D,2018-02-23,00:00,56.7608,0
USD,D,2018-02-24,00:00,56.7608,0
USD,D,2018-02-25,00:00,56.7608,0
USD,D,2018-02-26,00:00,56.7608,0
USD,D,2018-02-27,00:00,55.9208,0
USD,D,2018-02-28,00:00,55.6717,0
USD,D,2018-03-01,00:00,56.3742,0
USD,D,2018-03-02,00:00,56.4334,0
USD,D,2018-03-03,00:00,56.6616,0
USD,D,2018-03-04,00:00,56.6616,0
USD,D,2018-03-05,00:00,56.6616,0
USD,D,2018-03-06,00:00,57.1,0
USD,D,2018-03-07,00:00,56.5041,0
USD,D,2018-03-08,00:00,56.8011,0
USD,D,2018-03-09,00:00,56.8011,0
USD,D,2018-03-10,00:00,56.8011,0
USD,D,2018-03-11,00:00,56.8011,0
USD,D,2018-03-12,00:00,56.8011,0
USD,D,2018-03-13,00:00,56.6122,0
USD,D,2018-03-14,00:00,56.9359,0
USD,D,2018-03-15,00:00,56.9372,0
USD,D,2018-03-16,00:00,57.0188,0
USD,D,2018-03-17,00:00,57.4942,0
USD,D,2018-03-18,00:00,57.4942,0
USD,D,2018-03-19,00:00,57.4942,0
USD,D,2018-03-20,00:00,57.5521,0
USD,D,2018-03-21,00:00,57.7033,0
USD,D,2018-03-22,00:00,57.4954,0
USD,D,2018-03-23,00:00,56.8391,0
USD,D,2018-03-24,00:00,57.1072,0
USD,D,2018-03-25,00:00,57.1072,0
USD,D,2018-03-26,00:00,57.1072,0
USD,D,2018-03-27,00:00,57.0039,0
USD,D,2018-03-28,00:00,57.1747,0
USD,D,2018-03-29,00:00,57.5598,0
USD,D,2018-03-30,00:00,57.7626,0
USD,D,2018-03-31,00:00,57.2649,0
USD,D,2018-04-01,00:00,57.2649,0
USD,D,2018-04-02,00:00,57.2649,0
